Case Ref No,Industry,LGA,WSP,Received Date,Finalisation Date,Offences,Finalisation Reason
00175-2019,Development,Eurobodalla,Draft Hastings Unregulated and Alluvial Water Sources ,Feb-19,Jun-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",No breach – referred to another agency
00175-2020,Irrigation,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Jan-20,May-20, ,Breach – enforcement response completed
00176-2019,Crop / horticulture,Coffs Harbour,Clarence River Unregulated and Alluvial Water Sources ,Feb-19,Sep-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Low priority
00176-2020,Unknown,Mid-Coast,Lower North Coast Unregulated and Alluvial Water Sources ,Dec-19,Mar-20,60B - Contravention of terms and conditions of access licence,Low priority
00177-2016,Other,Bega Valley,Murrah-Wallaga Area Unregulated and Alluvial Water Sources ,Mar-16,Nov-18,91E - Carrying out controlled activity,No breach – exempt
00177-2018,,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Mar-18,Aug-18, ,Lack of information provided
00177-2019,Crop / horticulture,Kyogle,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Feb-19,Jul-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work",Breach – enforcement response completed
00177-2020,Irrigation,Moree Plains,Lower Gwydir Groundwater Source ,Jan-20,Feb-20,60B - Contravention of terms and conditions of access licence,Breach – enforcement response completed
00178-2018,,Moree Plains,NSW Border Rivers Unregulated and Alluvial Water Sources ,Mar-18,May-18,91B - Constructing or using water supply work,Breach – enforcement response completed
00178-2019,Development,Richmond Valley,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Feb-19,Mar-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",No breach – exempt
00178-2020,Unknown,Wollondilly,Greater Metropolitan Region Groundwater Sources ,Dec-19,Feb-20,"60A - Taking water without, or otherwise than authorised by, an access licence",Low priority
00179-2018,,Moree Plains,NSW Border Rivers Unregulated and Alluvial Water Sources ,Mar-18,May-18,91I - Taking water when metering equipment not working,Other (details in running log)
00179-2019,Unknown,Byron,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Feb-19,Oct-19,60B - Contravention of terms and conditions of access licence,No breach – other
00179-2020,Unknown,Armidale Regional,Macleay Unregulated and Alluvial Water Source ,Dec-19,Sep-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Medium priority – potential M&A audit
00180-2018,,Tweed,Tweed River Area Unregulated and Alluvial Water Sources ,Mar-18,Jan-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",No further action required
00180-2019,Development,Richmond Valley,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Feb-19,Aug-19,91E - Carrying out controlled activity,Low priority
00180-2020,Irrigation,Ballina,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-20,Apr-20, ,Breach – enforcement response completed
00181-2018,,Ballina,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Mar-18,Jun-18,"60A - Taking water without, or otherwise than authorised by, an access licence, 60D - Taking water otherwise than from a nominated water supply work",No breach – other
00181-2019,Development,Shoalhaven,Clyde River Unregulated and Alluvial Water Sources ,Feb-19,May-19,91E - Carrying out controlled activity,No breach – other
00182-2018,,Wingecarribee,Greater Metropolitan Region Unregulated River Water Sources ,Mar-18,Aug-18,91B - Constructing or using water supply work,No breach – referred to another agency
00182-2019,Unknown,Kyogle,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Mar-19,Mar-19,91G - Contravention of terms and conditions of approval,No breach – other
00183-2020,Crop / horticulture,Richmond Valley,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Dec-19,Apr-20,91E(2)-tier 2 - Carrying out a controlled activity with a controlled activity approval-but not in accordance with the controlled activity approval,Duplicate Entry - refer to linked notification
00184-2018,Urban,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Mar-18,Oct-18,91E - Carrying out controlled activity,No breach – exempt
00184-2019,Development,Inverell,Gwydir Unregulated and Alluvial Water Sources ,Mar-19,Aug-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Low priority
00184-2020,Unknown,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Jan-20,Jul-20,"60A - Taking water without, or otherwise than authorised by, an access licence",Breach – enforcement response completed
00185-2019,Development,Bega Valley,Towamba River Unregulated and Alluvial Water Sources ,Feb-19,Jul-19,91E - Carrying out controlled activity,No breach – other
00186-2017,,Lismore,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Apr-17,Aug-18,"346 - Unauthorised bore drilling, 91B - Constructing or using water supply work",No breach – other
00186-2019,Crop / horticulture,Cabonne,Lachlan Unregulated and Alluvial Water Sources ,Feb-19,Sep-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60B - Contravention of terms and conditions of access licence",Breach – enforcement response completed
00186-2020,Unknown,Mid-Coast,Lower North Coast Unregulated and Alluvial Water Sources ,Jan-20,Jun-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,Breach – enforcement response completed
00187-2018,,Cessnock,Hunter Unregulated and Alluvial Water Sources ,Mar-18,Dec-18,"340A(2) - Furnishing false or misleading information in relation to Chapter 7, Part 2., 91B - Constructing or using water supply work",No breach – other
00187-2019,Unknown,Wollondilly,Greater Metropolitan Region Unregulated River Water Sources ,Feb-19,Aug-19,60B - Contravention of terms and conditions of access licence,No breach – other
00187-2020,Irrigation,Snowy Monaro Regional,Murrumbidgee Unregulated and Alluvial Water Sources ,Jan-20,May-20, ,Breach – enforcement response completed
00188-2015,Other,Gosford,Central Coast Unregulated Water Sources ,Mar-15,Feb-19,"336C - Contravene certain directions, 91E - Carrying out controlled activity",Other (details in running log)
00188-2018,,Uralla,Gwydir Unregulated and Alluvial Water Sources ,Mar-18,Feb-19,"91B - Constructing or using water supply work, 91E - Carrying out controlled activity",Breach – enforcement response completed
00188-2019,Extractive,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Feb-19,Aug-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Low priority
00188-2020,Development,Central Coast,Clarence River Unregulated and Alluvial Water Sources ,Jan-20,Feb-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Low priority
00189-2019,Crop / horticulture,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Mar-19,Feb-20,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",No breach – other
00190-2017,,Mid-Western Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Apr-17,Sep-18,91E - Carrying out controlled activity,Breach – enforcement response completed
00190-2019,Crop / horticulture,Warrumbungle,Castlereagh River Unregulated and Alluvial Water Sources ,Mar-19,Jun-20,60B - Contravention of terms and conditions of access licence,Breach – enforcement response completed
00191-2017,,Berrigan,Murrumbidgee Unregulated and Alluvial Water Sources ,Apr-17,Jul-18,91B - Constructing or using water supply work,Breach – enforcement response completed
00191-2019,Development,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Mar-19,Mar-20,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Breach – enforcement response completed
00192-2018,,Wyong,Central Coast Unregulated Water Sources ,Mar-18,Mar-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00192-2020,Unknown,Ballina,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-20,Aug-20,"91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Breach – enforcement response completed
00193-2019,Crop / horticulture,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Mar-19,Jun-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach - Referred to WaterNSW
00194-2018,Crop / horticulture,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Mar-18,Sep-18,91B - Constructing or using water supply work,Duplicate Entry - refer to linked notification
00194-2019,Development,Narrandera,Lachlan Unregulated and Alluvial Water Sources ,Mar-19,Aug-19,"91D - Constructing or using flood work, 91E - Carrying out controlled activity",Low priority
00195-2018,,Gosford,Central Coast Unregulated Water Sources ,Mar-18,May-18,91G - Contravention of terms and conditions of approval,Other (details in running log)
00195-2020,Unknown,Coffs Harbour,Clarence River Unregulated and Alluvial Water Sources ,Dec-19,Jun-20,"60A - Taking water without, or otherwise than authorised by, an access licence",Low priority
00196-2018,,Walgett,Barwon-Darling Unregulated and Alluvial Water Sources ,Mar-18,May-18,"340A(1) - Neglect or fail to comply with a requirement made under this Part., 60B - Contravention of terms and conditions of access licence",Other (details in running log)
00196-2019,Development,Armidale Regional,Macleay Unregulated and Alluvial Water Source ,Mar-19,Jul-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",No breach – other
00196-2020,Irrigation,Liverpool Plains,Namoi Unregulated and Alluvial Water Sources ,Jan-20,May-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Low priority
00197-2017,,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Apr-17,Aug-18, ,Lack of information provided
00197-2018,Animal,Lake Macquarie,Hunter Unregulated and Alluvial Water Sources ,Mar-18,Feb-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00197-2019,Development,Tamworth Regional,Namoi Unregulated and Alluvial Water Sources ,Mar-19,Aug-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Low priority
00197-2020,Other,Bega Valley,Towamba River Unregulated and Alluvial Water Sources ,Dec-19,Feb-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Low priority
00198-2019,Development,Inverell,NSW Border Rivers Unregulated and Alluvial Water Sources ,Mar-19,Jun-20,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",No breach – other
00198-2020,Crop / horticulture,Tenterfield,Clarence River Unregulated and Alluvial Water Sources ,Jan-20,Sep-20,"60C - Taking water for which there is no, or insufficient, water allocation",No breach - insufficient evidence
00199-2016,Other,Warren,Macquarie Bogan Unregulated and Alluvial Water Sources ,Apr-16,Jan-20,91E - Carrying out controlled activity,Breach – enforcement response completed
